Strategy,Query_ID,Latency (s),TTFT (s),Throughput (tok/s),Generation Speed (tok/s),Cost (ms/token),Input Tokens,Output Tokens,GPU KV Usage (%),GPU Blocks,Prompt Preview
No Caching,1,0.3836,0.3417,477.09,52.14,2.353,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,2,0.7853,0.6994,233.05,25.47,4.818,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,3,1.1106,0.9892,164.78,18.01,6.814,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,4,0.4378,0.3909,427.18,45.69,2.621,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,5,0.2928,0.2616,642.14,68.31,1.743,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,6,0.8576,0.7649,215.72,23.32,5.197,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,7,0.9794,0.879,199.1,20.42,5.597,175,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,8,0.4512,0.403,414.42,44.32,2.702,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,9,0.3095,0.2771,617.18,64.63,1.81,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,10,0.8894,0.7947,211.39,22.49,5.294,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,11,1.0065,0.9,187.78,19.87,5.956,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,12,0.3275,0.2925,570.99,61.07,1.961,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,13,0.5794,0.5177,324.48,34.52,3.449,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,14,1.0455,0.9318,175.99,19.13,6.375,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,15,0.774,0.6917,242.88,25.84,4.607,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,16,0.3295,0.2939,561.38,60.69,1.997,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,17,0.7993,0.7134,232.69,25.02,4.815,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,18,1.1433,1.0184,160.06,17.49,7.014,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,19,0.4922,0.4404,386.02,40.63,2.895,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,20,0.7001,0.6236,261.39,28.57,4.295,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,21,1.0414,0.93,179.57,19.21,6.236,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,22,0.5726,0.5111,324.82,34.93,3.45,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,23,0.5255,0.4705,363.44,38.06,3.073,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,24,0.6365,0.5677,290.66,31.42,3.858,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,25,0.4609,0.4124,412.22,43.39,2.711,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,26,0.4719,0.4208,392.07,42.39,2.86,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,27,0.381,0.3404,493.48,52.5,2.268,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,28,0.9298,0.8334,207.58,21.51,5.374,173,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,29,1.2287,1.0973,152.19,16.28,7.357,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,30,0.6616,0.5904,281.14,30.23,3.985,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,31,0.4702,0.4196,395.58,42.54,2.832,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,32,0.5196,0.4631,354.12,38.49,3.168,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,33,0.8889,0.7958,214.87,22.5,5.198,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,34,1.2905,1.1495,141.8,15.5,7.917,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,35,0.8431,0.7534,222.99,23.72,5.018,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,36,0.4503,0.4022,415.23,44.41,2.697,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,37,0.3998,0.3571,467.69,50.02,2.394,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,38,0.8219,0.7349,229.95,24.33,4.863,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,39,1.3544,1.2111,139.55,14.77,8.014,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,40,0.8346,0.7444,221.65,23.96,5.058,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,41,0.4461,0.3989,423.63,44.83,2.64,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,42,0.3847,0.3435,486.15,51.99,2.303,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,43,0.3944,0.3527,479.22,50.71,2.334,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,44,0.3649,0.3259,512.4,54.8,2.185,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,45,0.8594,0.769,221.08,23.27,5.055,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,46,1.3275,1.1855,140.86,15.07,7.949,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,47,0.7805,0.6992,245.98,25.62,4.538,172,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,48,0.4065,0.3632,462.49,49.2,2.42,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,49,0.3592,0.3208,520.64,55.68,2.151,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
No Caching,50,0.8353,0.7445,220.27,23.94,5.093,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,1,0.3642,0.3244,502.49,54.92,2.234,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,2,0.7606,0.6774,240.61,26.3,4.666,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,3,0.9141,0.8142,200.2,21.88,5.608,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,4,0.5139,0.459,363.85,38.91,3.078,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,5,0.818,0.731,229.83,24.45,4.869,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,6,1.0094,0.9002,183.28,19.81,6.117,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,7,0.4806,0.4313,405.74,41.61,2.746,175,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,8,0.3158,0.282,592.11,63.33,1.891,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,9,0.7653,0.6852,249.57,26.13,4.476,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,10,0.9235,0.8252,203.58,21.66,5.497,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,11,0.5957,0.5326,317.28,33.57,3.525,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,12,0.322,0.2876,580.73,62.11,1.928,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,13,0.5859,0.5235,320.9,34.14,3.487,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,14,1.1602,1.0341,158.6,17.24,7.074,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,15,0.5548,0.4957,338.88,36.05,3.302,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,16,0.3333,0.2973,555.01,60.0,2.02,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
