Experiment,Query_ID,State,Latency (s),TTFT (ms),Prefill Time (ms),Decode Time (ms),TPOT (ms),Queue Time (ms),Decode Throughput (tok/s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,KV Size (MB),L1 GPU KV Usage (%),L1 GPU KV Capacity (MB),L2 CPU Cache Est (MB),L3 Disk Cache (MB),Disk Delta (MB),New Cache Chunks,GPU VRAM Used (MB),RAM (GB),Prompt Preview
1. Shared Prefix,1,Cold,0.6133,513.3,513.3,100.0,5.263,,200.0,298.39,3.763,163,20,1.91,4.0,48.0,1.91,0.0,0.0,0,2721.38,0.91,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,2,Warm,0.3101,210.11,210.11,100.0,5.263,,200.0,590.12,1.903,163,20,1.91,4.0,48.0,3.82,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,3,Warm,1.0155,915.54,915.54,100.0,5.263,,200.0,180.2,6.23,163,20,1.91,4.0,48.0,5.73,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,4,Warm,0.9891,889.13,889.13,100.0,5.263,,200.0,189.06,5.923,167,20,1.957,4.1,48.0,7.69,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,5,Warm,0.3648,264.76,264.76,100.0,5.263,,200.0,515.4,2.171,168,20,1.969,4.1,48.0,9.66,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,6,Warm,1.1618,1061.79,1061.79,100.0,5.263,,200.0,159.24,7.041,165,20,1.934,4.0,48.0,11.59,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,7,Warm,0.6997,599.72,599.72,100.0,5.263,,200.0,278.68,3.998,175,20,2.051,4.3,48.0,13.64,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,8,Warm,0.1344,34.41,34.41,100.0,5.263,,200.0,1391.3,0.805,167,20,1.957,4.1,48.0,15.6,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,9,Warm,0.1444,44.44,44.44,100.0,5.263,,200.0,1322.39,0.845,171,20,2.004,4.2,48.0,17.6,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,10,Warm,0.1464,46.44,46.44,100.0,5.263,,200.0,1283.77,0.872,168,20,1.969,4.1,48.0,19.57,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,11,Warm,0.1316,31.63,31.63,100.0,5.263,,200.0,1435.85,0.779,169,20,1.98,4.1,48.0,21.55,0.0,0.0,0,2721.38,0.99,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
