workload,strategy,query_id,access_latency_ms,prefetch_cost_ms,total_ttft_ms,baseline_latency_ms,reward,n_prefetched,n_useful
prefix,RL_Agent,1,149.66700803563,0.0,149.66700803563,146.70000000000002,-2.9670080356299877,0,0
prefix,RL_Agent,2,48.69731222391128,0.0,48.69731222391128,19.877000000000002,-28.82031222391128,0,0
prefix,RL_Agent,3,151.0808313369751,0.0,151.0808313369751,35.15400000000001,-115.9268313369751,0,0
prefix,RL_Agent,4,61.96854381561279,0.0,61.96854381561279,50.43100000000001,-11.537543815612779,0,0
prefix,RL_Agent,5,58.89548807144165,0.0,58.89548807144165,65.70800000000001,6.812511928558365,0,0
prefix,RL_Agent,6,61.86585621833801,0.0,61.86585621833801,80.985,19.11914378166199,0,0
prefix,RL_Agent,7,65.88252787590027,0.0,65.88252787590027,96.26200000000001,30.37947212409975,0,0
prefix,RL_Agent,8,78.20377569198608,0.0,78.20377569198608,111.539,33.33522430801392,0,0
rag,RL_Agent,1,439.692672070116,0.0,439.692672070116,407.50000000000017,-32.192672070115805,0,0
rag,RL_Agent,2,108.257279920578,10.892128004343249,119.14940792492125,264.3089999999998,145.09667751507854,2,2
rag,RL_Agent,3,103.04812746047973,2.56998700206168,105.61811446254141,279.5859999999998,173.90497097745836,2,2
rag,RL_Agent,4,109.0780795097351,2.566597002441995,111.6446765121771,294.8629999999998,183.15540892782266,2,2
rag,RL_Agent,5,109.37200002670288,1.9494060034048744,111.32140603010775,310.13999999999976,198.755679409892,2,2
rag,RL_Agent,6,116.2758722782135,2.8180670051369816,119.09393928335048,325.41699999999975,206.26014615664926,2,2
rag,RL_Agent,7,122.73251276016235,3.3711690120981075,126.10368177226046,340.69399999999973,214.52740366773926,2,2
rag,RL_Agent,8,135.34294443130494,3.1380140062537976,138.48095843755874,355.9709999999997,217.42712700244098,2,2
nocontext,RL_Agent,1,765.4299849450584,0.0,765.4299849450584,668.2999999999998,-97.1299849450586,0,0
nocontext,RL_Agent,2,147.78380947113038,7.510570001613814,155.2943794727442,508.7409999999996,353.38370596725537,2,2
nocontext,RL_Agent,3,130.51196806430818,2.7478060001158156,133.259774064424,524.0179999999998,390.6953113755758,2,2
nocontext,RL_Agent,4,133.29209594726564,2.772343999822624,136.06443994708826,539.2950000000001,403.1676454929118,2,2
nocontext,RL_Agent,5,135.77775959968568,2.7274399981251918,138.50519959781087,554.5720000000001,416.0038858421892,2,2
nocontext,RL_Agent,6,143.90278367996217,2.7216420057811774,146.62442568574335,569.8490000000002,423.1616597542568,2,2
nocontext,RL_Agent,7,147.03523235321046,3.00164200598374,150.0368743591942,585.1260000000002,435.026211080806,2,2
nocontext,RL_Agent,8,149.88355164527894,3.0080409997026436,152.89159264498159,600.4030000000002,447.44849279501864,2,2
multiturn,RL_Agent,1,1084.630817747115,0.0,1084.630817747115,929.0999999999991,-155.53081774711598,0,0
multiturn,RL_Agent,2,173.715455698967,15.873967997322325,189.58942369628932,753.1730000000006,563.5206617437112,2,2
multiturn,RL_Agent,3,174.97519927024842,2.7576770007726736,177.7328762710211,768.4500000000007,590.6542091689797,2,2
multiturn,RL_Agent,4,176.90156810283662,2.7450079942354932,179.6465760970721,783.7270000000008,604.0175093429287,2,2
multiturn,RL_Agent,5,179.17465596199037,2.7584720010054298,181.9331279629958,799.0040000000008,617.0079574770051,2,2
multiturn,RL_Agent,6,181.13392024040223,2.8959080009371974,184.02982824133943,814.2810000000007,630.1882571986613,2,2
multiturn,RL_Agent,7,184.65891222953798,2.728430998104159,187.38734322764213,829.5580000000009,642.1077422123589,2,2
multiturn,RL_Agent,8,187.66934363842012,2.802173992677126,190.47151763109724,844.835000000001,654.3005678089038,2,2
