episode,total_reward,hit_rate_pct,prefetch_accuracy_pct,total_prefetches,useful_prefetches,avg_measured_latency_ms,avg_baseline_latency_ms,total_measured_latency_ms,tier_L1,tier_L2,tier_L3,tier_MISS
1,-353.1381371793906,0.0,0.0,246,0,14.09,12.7,704.29,0,0,0,50
2,-366.56262944507074,0.0,0.0,265,0,13.96,12.7,698.03,0,0,0,50
3,-391.77319585501084,0.0,0.0,264,0,14.05,12.7,702.26,0,0,0,50
4,-422.62550099905786,0.0,0.0,259,0,14.53,12.7,726.49,0,0,0,50
5,-423.90049092408293,0.0,0.0,288,0,14.01,12.7,700.72,0,0,0,50
6,-388.39979662648864,0.0,0.0,278,0,13.98,12.7,698.85,0,0,0,50
7,-388.8335348264397,0.0,0.0,274,0,14.0,12.7,699.9,0,0,0,50
8,-377.47424001538116,0.0,0.0,266,0,14.0,12.7,699.9,0,0,0,50
9,-348.9555900626619,0.0,0.0,247,0,13.97,12.7,698.47,0,0,0,50
10,-396.5481065348484,0.0,0.0,258,0,14.05,12.7,702.54,0,0,0,50
11,-384.65460075867,0.0,0.0,264,0,14.06,12.7,702.94,0,0,0,50
12,-394.11001732084355,0.0,0.0,266,0,13.98,12.7,699.04,0,0,0,50
13,-375.8024752674826,0.0,0.0,248,0,14.08,12.7,703.78,0,0,0,50
14,-389.1123783303906,0.0,0.0,275,0,13.99,12.7,699.3,0,0,0,50
15,-425.6746478185285,0.0,0.0,258,0,14.05,12.7,702.3,0,0,0,50
16,-347.32630622685366,0.0,0.0,240,0,13.98,12.7,699.11,0,0,0,50
17,-380.77177459633026,0.0,0.0,271,0,13.99,12.7,699.42,0,0,0,50
18,-411.39238458658724,0.0,0.0,284,0,14.02,12.7,701.22,0,0,0,50
19,-383.2819996246967,0.0,0.0,275,0,13.98,12.7,698.97,0,0,0,50
20,-382.75375759500287,0.0,0.0,277,0,13.97,12.7,698.66,0,0,0,50
21,-396.3217987965826,0.0,0.0,273,0,14.05,12.7,702.57,0,0,0,50
22,-409.55749503431605,0.0,0.0,278,0,14.05,12.7,702.44,0,0,0,50
23,-371.3054964267778,0.0,0.0,256,0,14.0,12.7,699.94,0,0,0,50
24,-456.8239894929678,0.0,0.0,291,0,14.09,12.7,704.26,0,0,0,50
25,-357.9784423879192,0.0,0.0,236,0,14.37,12.7,718.4,0,0,0,50
26,-357.62367192489194,0.0,0.0,246,0,13.99,12.7,699.72,0,0,0,50
27,-376.2303211177417,0.0,0.0,250,0,14.06,12.7,702.88,0,0,0,50
28,-390.33362015905425,0.0,0.0,264,0,14.02,12.7,701.01,0,0,0,50
29,-366.438679305635,0.0,0.0,255,0,13.99,12.7,699.51,0,0,0,50
30,-414.287771323026,0.0,0.0,290,0,14.01,12.7,700.49,0,0,0,50
31,-381.81064091168264,0.0,0.0,257,0,14.05,12.7,702.75,0,0,0,50
32,-389.72681172666734,0.0,0.0,274,0,13.99,12.7,699.73,0,0,0,50
33,-412.212190245414,0.0,0.0,281,0,14.03,12.7,701.59,0,0,0,50
34,-409.6437205737187,0.0,0.0,255,0,14.06,12.7,702.78,0,0,0,50
35,-400.169789076471,0.0,0.0,261,0,14.07,12.7,703.73,0,0,0,50
36,-504.63036132687597,0.0,0.0,265,0,14.29,12.7,714.51,0,0,0,50
37,-486.1258391504654,0.0,0.0,256,0,14.33,12.7,716.72,0,0,0,50
38,-382.72900491279006,0.0,0.0,275,0,13.99,12.7,699.53,0,0,0,50
39,-400.34080324152666,0.0,0.0,276,0,14.03,12.7,701.7,0,0,0,50
40,-369.7309237091142,0.0,0.0,266,0,13.97,12.7,698.38,0,0,0,50
41,-391.400992557729,0.0,0.0,274,0,14.01,12.7,700.61,0,0,0,50
42,-429.4703054964969,0.0,0.0,281,0,14.05,12.7,702.58,0,0,0,50
43,-391.4504171418903,0.0,0.0,257,0,14.04,12.7,701.82,0,0,0,50
44,-358.0008950185338,0.0,0.0,262,0,13.95,12.7,697.38,0,0,0,50
45,-340.07914649361584,0.0,0.0,245,0,13.96,12.7,697.75,0,0,0,50
46,-392.6409525865924,0.0,0.0,270,0,14.0,12.7,700.08,0,0,0,50
47,-376.5824656163958,0.0,0.0,273,0,13.97,12.7,698.45,0,0,0,50
48,-426.6466498674015,0.0,0.0,289,0,13.99,12.7,699.66,0,0,0,50
49,-393.84037922093046,0.0,0.0,255,0,14.06,12.7,702.78,0,0,0,50
50,-419.23641652374084,0.0,0.0,270,0,14.16,12.7,707.84,0,0,0,50
51,-432.10315571599506,0.0,0.0,246,0,14.27,12.7,713.43,0,0,0,50
52,-371.5708110314085,0.0,0.0,265,0,13.98,12.7,699.15,0,0,0,50
53,-408.64666071352264,0.0,0.0,267,0,14.06,12.7,703.19,0,0,0,50
54,-452.8086895436015,0.0,0.0,274,0,14.17,12.7,708.62,0,0,0,50
55,-445.3437229799712,0.0,0.0,287,0,14.12,12.7,706.1,0,0,0,50
56,-416.72885633441126,0.0,0.0,250,0,14.19,12.7,709.74,0,0,0,50
57,-397.3202015380261,0.0,0.0,270,0,14.02,12.7,700.85,0,0,0,50
58,-403.01083436353804,0.0,0.0,259,0,14.06,12.7,703.19,0,0,0,50
59,-366.263886846768,0.0,0.0,254,0,14.0,12.7,700.03,0,0,0,50
60,-512.9353952937718,0.0,0.0,262,0,14.19,12.7,709.72,0,0,0,50
61,-506.4048087696591,0.0,0.0,278,0,14.34,12.7,717.01,0,0,0,50
62,-483.51068027291234,0.0,0.0,252,0,14.36,12.7,718.03,0,0,0,50
63,-526.8597666605226,0.0,0.0,274,0,14.37,12.7,718.29,0,0,0,50
64,-515.3496352832948,0.0,0.0,250,0,14.44,12.7,721.88,0,0,0,50
65,-494.36513084234537,0.0,0.0,255,0,14.36,12.7,718.2,0,0,0,50
66,-513.2291826340652,0.0,0.0,252,0,14.43,12.7,721.58,0,0,0,50
67,-555.7796308173849,0.0,0.0,271,0,14.49,12.7,724.31,0,0,0,50
68,-545.5888549886178,0.0,0.0,251,0,14.55,12.7,727.25,0,0,0,50
69,-579.6507378276261,0.0,0.0,264,0,14.87,12.7,743.44,0,0,0,50
70,-533.1023599630423,0.0,0.0,248,0,14.49,12.7,724.71,0,0,0,50
71,-604.5177226860919,0.0,0.0,280,0,14.55,12.7,727.41,0,0,0,50
72,-543.9913356818579,0.0,0.0,267,0,14.43,12.7,721.68,0,0,0,50
73,-551.9287915461935,0.0,0.0,289,0,14.36,12.7,718.05,0,0,0,50
74,-512.3082197861459,0.0,0.0,257,0,14.46,12.7,722.75,0,0,0,50
75,-516.7864197171914,0.0,0.0,266,0,14.42,12.7,720.99,0,0,0,50
76,-474.7591877362887,0.0,0.0,255,0,14.33,12.7,716.27,0,0,0,50
77,-512.6760299042348,0.0,0.0,275,0,14.36,12.7,718.2,0,0,0,50
78,-435.54007401460154,0.0,0.0,236,0,14.31,12.7,715.29,0,0,0,50
79,-506.94772257126556,0.0,0.0,266,0,14.37,12.7,718.43,0,0,0,50
80,-491.4795265890034,0.0,0.0,262,0,14.38,12.7,718.99,0,0,0,50
81,-478.65378445718125,0.0,0.0,257,0,14.35,12.7,717.74,0,0,0,50
82,-529.1543850880768,0.0,0.0,269,0,14.39,12.7,719.52,0,0,0,50
83,-395.16316000238055,0.0,0.0,260,0,14.04,12.7,702.23,0,0,0,50
84,-413.9580954105976,0.0,0.0,273,0,14.04,12.7,702.07,0,0,0,50
85,-362.5381119613644,0.0,0.0,239,0,14.02,12.7,701.15,0,0,0,50
86,-401.86823066233086,0.0,0.0,265,0,14.04,12.7,701.94,0,0,0,50
87,-401.1412593780742,0.0,0.0,262,0,14.01,12.7,700.3,0,0,0,50
88,-384.2409161336629,0.0,0.0,261,0,14.02,12.7,700.86,0,0,0,50
89,-412.6865101117087,0.0,0.0,280,0,14.02,12.7,700.99,0,0,0,50
90,-371.7685434499142,0.0,0.0,248,0,14.02,12.7,700.89,0,0,0,50
91,-397.98720727846904,0.0,0.0,258,0,14.08,12.7,704.08,0,0,0,50
92,-394.5373518434482,0.0,0.0,256,0,14.07,12.7,703.5,0,0,0,50
93,-380.9406251964428,0.0,0.0,247,0,14.06,12.7,702.78,0,0,0,50
94,-395.870026773927,0.0,0.0,261,0,14.05,12.7,702.71,0,0,0,50
95,-366.34645006918447,0.0,0.0,246,0,14.02,12.7,700.77,0,0,0,50
96,-364.40122233202885,0.0,0.0,241,0,14.02,12.7,701.13,0,0,0,50
97,-403.7841664365392,0.0,0.0,275,0,14.06,12.7,702.9,0,0,0,50
98,-393.91644934251514,0.0,0.0,272,0,14.02,12.7,701.03,0,0,0,50
99,-390.11515673606937,0.0,0.0,262,0,14.01,12.7,700.58,0,0,0,50
100,-370.1524765815797,0.0,0.0,234,0,14.0,12.7,700.09,0,0,0,50
101,-387.3493472916374,0.0,0.0,250,0,14.09,12.7,704.65,0,0,0,50
102,-381.58620364290374,0.0,0.0,240,0,14.07,12.7,703.37,0,0,0,50
103,-405.59340437975374,0.0,0.0,265,0,14.07,12.7,703.32,0,0,0,50
104,-418.29706630037606,0.0,0.0,268,0,14.07,12.7,703.6,0,0,0,50
105,-408.23030627963806,0.0,0.0,268,0,14.06,12.7,702.93,0,0,0,50
106,-381.3179913004071,0.0,0.0,261,0,14.01,12.7,700.35,0,0,0,50
107,-425.4522137234065,0.0,0.0,281,0,14.07,12.7,703.42,0,0,0,50
108,-388.52705865956915,0.0,0.0,245,0,14.06,12.7,703.05,0,0,0,50
109,-453.3100683815283,0.0,0.0,267,0,14.14,12.7,707.15,0,0,0,50
110,-381.7591450433161,0.0,0.0,254,0,14.02,12.7,701.11,0,0,0,50
111,-410.3697895852727,0.0,0.0,258,0,14.11,12.7,705.31,0,0,0,50
112,-393.3896710486034,0.0,0.0,251,0,14.07,12.7,703.41,0,0,0,50
113,-455.43063723782205,0.0,0.0,274,0,14.15,12.7,707.66,0,0,0,50
114,-489.555711082582,0.0,0.0,273,0,14.24,12.7,712.09,0,0,0,50
115,-400.8424556056798,0.0,0.0,257,0,14.1,12.7,705.07,0,0,0,50
116,-411.8138094231476,0.0,0.0,265,0,14.05,12.7,702.58,0,0,0,50
117,-414.6790882806045,0.0,0.0,272,0,14.05,12.7,702.56,0,0,0,50
118,-435.12925944776737,0.0,0.0,287,0,14.07,12.7,703.36,0,0,0,50
119,-374.0006285565328,0.0,0.0,244,0,14.03,12.7,701.68,0,0,0,50
120,-414.9124447421613,0.0,0.0,260,0,14.09,12.7,704.71,0,0,0,50
121,-441.68085855158665,0.0,0.0,266,0,14.35,12.7,717.6,0,0,0,50
122,-406.6706007390143,0.0,0.0,260,0,14.06,12.7,703.25,0,0,0,50
123,-396.9989772473506,0.0,0.0,259,0,14.06,12.7,703.07,0,0,0,50
124,-380.1404666886825,0.0,0.0,259,0,14.03,12.7,701.39,0,0,0,50
125,-391.0177230810583,0.0,0.0,269,0,14.03,12.7,701.33,0,0,0,50
126,-365.67940134133624,0.0,0.0,258,0,13.98,12.7,698.8,0,0,0,50
127,-373.2352504366618,0.0,0.0,262,0,13.98,12.7,699.15,0,0,0,50
128,-392.5493674839236,0.0,0.0,267,0,14.04,12.7,701.99,0,0,0,50
129,-372.68261921707614,0.0,0.0,254,0,14.0,12.7,700.06,0,0,0,50
130,-401.912891188,0.0,0.0,266,0,14.05,12.7,702.69,0,0,0,50
131,-392.57901884180154,0.0,0.0,256,0,14.07,12.7,703.45,0,0,0,50
132,-492.1804487391284,0.0,0.0,261,0,14.28,12.7,713.94,0,0,0,50
133,-530.6788706051341,0.0,0.0,266,0,14.42,12.7,720.81,0,0,0,50
134,-523.2493327083687,0.0,0.0,266,0,14.39,12.7,719.48,0,0,0,50
135,-495.73776757949105,0.0,0.0,254,0,14.37,12.7,718.48,0,0,0,50
136,-498.3361250471489,0.0,0.0,252,0,14.38,12.7,719.08,0,0,0,50
137,-510.04716961098757,0.0,0.0,275,0,14.34,12.7,716.94,0,0,0,50
138,-422.8789121772832,0.0,0.0,222,0,14.33,12.7,716.44,0,0,0,50
139,-522.4648478765287,0.0,0.0,256,0,14.43,12.7,721.72,0,0,0,50
140,-378.54217376220294,0.0,0.0,261,0,14.01,12.7,700.72,0,0,0,50
141,-405.0874439433201,0.0,0.0,272,0,14.05,12.7,702.75,0,0,0,50
142,-399.2776157036366,0.0,0.0,238,0,14.16,12.7,708.2,0,0,0,50
143,-449.26665067285273,0.0,0.0,268,0,14.14,12.7,707.23,0,0,0,50
144,-381.2514816213215,0.0,0.0,252,0,14.03,12.7,701.7,0,0,0,50
145,-410.07696378806475,0.0,0.0,273,0,14.04,12.7,701.98,0,0,0,50
146,-394.3462002593051,0.0,0.0,262,0,14.03,12.7,701.68,0,0,0,50
147,-422.3815087947699,0.0,0.0,245,0,14.15,12.7,707.31,0,0,0,50
148,-383.74982640993727,0.0,0.0,249,0,14.09,12.7,704.44,0,0,0,50
149,-386.78235293295023,0.0,0.0,270,0,13.99,12.7,699.46,0,0,0,50
150,-377.89430240319336,0.0,0.0,251,0,14.0,12.7,700.02,0,0,0,50
151,-393.49877552802775,0.0,0.0,264,0,14.06,12.7,703.05,0,0,0,50
152,-410.18502913540794,0.0,0.0,255,0,14.09,12.7,704.54,0,0,0,50
153,-394.62943041447494,0.0,0.0,231,0,14.22,12.7,711.23,0,0,0,50
154,-370.34564169129635,0.0,0.0,244,0,14.04,12.7,702.1,0,0,0,50
155,-411.6905491641686,0.0,0.0,255,0,14.11,12.7,705.58,0,0,0,50
156,-413.5269098258523,0.0,0.0,257,0,14.12,12.7,706.06,0,0,0,50
157,-478.8404233102746,0.0,0.0,283,0,14.25,12.7,712.46,0,0,0,50
158,-398.99036475167503,0.0,0.0,256,0,14.11,12.7,705.3,0,0,0,50
159,-409.1445711157934,0.0,0.0,250,0,14.14,12.7,706.76,0,0,0,50
160,-391.2537445468331,0.0,0.0,248,0,14.06,12.7,703.18,0,0,0,50
161,-415.61509684591914,0.0,0.0,265,0,14.1,12.7,705.11,0,0,0,50
162,-362.858264037776,0.0,0.0,243,0,14.04,12.7,701.87,0,0,0,50
163,-407.84542142431434,0.0,0.0,285,0,13.99,12.7,699.67,0,0,0,50
164,-404.76860421228815,0.0,0.0,265,0,14.1,12.7,704.87,0,0,0,50
165,-430.89103717497625,0.0,0.0,272,0,14.13,12.7,706.52,0,0,0,50
166,-361.3523665109232,0.0,0.0,252,0,13.99,12.7,699.65,0,0,0,50
167,-380.4983832336121,0.0,0.0,241,0,14.42,12.7,721.01,0,0,0,50
168,-344.4599239718828,0.0,0.0,236,0,14.0,12.7,699.92,0,0,0,50
169,-350.5589207035561,0.0,0.0,243,0,13.99,12.7,699.37,0,0,0,50
170,-387.7473491357285,0.0,0.0,258,0,14.01,12.7,700.56,0,0,0,50
171,-364.9081289556379,0.0,0.0,247,0,14.03,12.7,701.31,0,0,0,50
172,-357.4348408212634,0.0,0.0,253,0,13.97,12.7,698.67,0,0,0,50
173,-534.7391979765139,0.0,0.0,239,0,14.55,12.7,727.41,0,0,0,50
174,-552.6339758708714,0.0,0.0,265,0,14.47,12.7,723.58,0,0,0,50
175,-538.7659865784847,0.0,0.0,266,0,14.43,12.7,721.58,0,0,0,50
176,-491.2507486537036,0.0,0.0,245,0,14.41,12.7,720.55,0,0,0,50
177,-511.5413196724477,0.0,0.0,246,0,14.45,12.7,722.26,0,0,0,50
178,-432.96758581922876,0.0,0.0,261,0,14.12,12.7,706.24,0,0,0,50
179,-369.27906700463313,0.0,0.0,253,0,14.01,12.7,700.54,0,0,0,50
180,-375.33689366484805,0.0,0.0,244,0,14.05,12.7,702.61,0,0,0,50
181,-389.83124308453273,0.0,0.0,246,0,14.1,12.7,704.78,0,0,0,50
182,-367.49712326312743,0.0,0.0,254,0,13.99,12.7,699.36,0,0,0,50
183,-393.33954040181146,0.0,0.0,270,0,14.01,12.7,700.45,0,0,0,50
184,-375.34237293247804,0.0,0.0,250,0,14.04,12.7,701.99,0,0,0,50
185,-399.3777987157721,0.0,0.0,235,0,14.18,12.7,709.08,0,0,0,50
186,-388.78079285015326,0.0,0.0,268,0,14.0,12.7,700.11,0,0,0,50
187,-427.4122752423077,0.0,0.0,280,0,14.05,12.7,702.6,0,0,0,50
188,-381.8041096117789,0.0,0.0,260,0,14.02,12.7,700.79,0,0,0,50
189,-416.66392649733876,0.0,0.0,285,0,14.02,12.7,701.02,0,0,0,50
190,-410.4786414228643,0.0,0.0,254,0,14.05,12.7,702.29,0,0,0,50
191,-391.93580699740596,0.0,0.0,257,0,14.07,12.7,703.41,0,0,0,50
192,-472.30756129154804,0.0,0.0,273,0,14.15,12.7,707.65,0,0,0,50
193,-356.49956786412923,0.0,0.0,240,0,14.01,12.7,700.74,0,0,0,50
194,-366.067052665219,0.0,0.0,238,0,14.02,12.7,701.02,0,0,0,50
195,-470.994800160284,0.0,0.0,238,0,14.4,12.7,719.85,0,0,0,50
196,-451.81881712039825,0.0,0.0,247,0,14.3,12.7,714.98,0,0,0,50
197,-481.1787173045641,0.0,0.0,262,0,14.34,12.7,716.87,0,0,0,50
198,-452.7115786935386,0.0,0.0,250,0,14.28,12.7,714.16,0,0,0,50
199,-500.89114886322005,0.0,0.0,258,0,14.39,12.7,719.47,0,0,0,50
200,-449.4693286442632,0.0,0.0,248,0,14.29,12.7,714.35,0,0,0,50
201,-532.1504358232588,0.0,0.0,272,0,14.45,12.7,722.29,0,0,0,50
202,-478.1559351124674,0.0,0.0,265,0,14.3,12.7,714.78,0,0,0,50
203,-495.00487603685946,0.0,0.0,265,0,14.37,12.7,718.36,0,0,0,50
204,-482.2688438159967,0.0,0.0,267,0,14.29,12.7,714.73,0,0,0,50
205,-483.27828812996904,0.0,0.0,262,0,14.33,12.7,716.49,0,0,0,50
206,-377.2316870289298,0.0,0.0,261,0,14.02,12.7,701.17,0,0,0,50
207,-356.7221019436871,0.0,0.0,228,0,14.04,12.7,702.13,0,0,0,50
208,-354.2281635647192,0.0,0.0,249,0,13.97,12.7,698.37,0,0,0,50
209,-354.7523443017858,0.0,0.0,244,0,13.99,12.7,699.43,0,0,0,50
210,-413.3748477265787,0.0,0.0,274,0,14.08,12.7,703.98,0,0,0,50
211,-468.290574977417,0.0,0.0,253,0,14.2,12.7,709.94,0,0,0,50
212,-346.5150168767222,0.0,0.0,242,0,13.97,12.7,698.55,0,0,0,50
213,-389.1836559213397,0.0,0.0,252,0,14.04,12.7,701.85,0,0,0,50
214,-399.34211372776576,0.0,0.0,266,0,14.03,12.7,701.42,0,0,0,50
215,-378.6097706406519,0.0,0.0,261,0,13.99,12.7,699.47,0,0,0,50
216,-404.11338374454397,0.0,0.0,273,0,14.01,12.7,700.69,0,0,0,50
217,-367.6362741134124,0.0,0.0,258,0,13.98,12.7,699.21,0,0,0,50
218,-340.1405451979159,0.0,0.0,223,0,14.01,12.7,700.55,0,0,0,50
219,-382.0010861503304,0.0,0.0,258,0,14.03,12.7,701.4,0,0,0,50
220,-349.1373469271536,0.0,0.0,243,0,13.97,12.7,698.6,0,0,0,50
221,-433.31163415652594,0.0,0.0,265,0,14.13,12.7,706.29,0,0,0,50
222,-382.18524824811146,0.0,0.0,269,0,14.0,12.7,700.18,0,0,0,50
223,-350.7361225965652,0.0,0.0,246,0,13.97,12.7,698.45,0,0,0,50
224,-390.45509860248325,0.0,0.0,252,0,14.05,12.7,702.47,0,0,0,50
225,-348.5798868246283,0.0,0.0,242,0,13.98,12.7,699.11,0,0,0,50
226,-390.1594079828363,0.0,0.0,263,0,14.02,12.7,701.08,0,0,0,50
227,-351.178733878607,0.0,0.0,237,0,14.0,12.7,699.83,0,0,0,50
228,-348.2405211933078,0.0,0.0,244,0,13.97,12.7,698.27,0,0,0,50
