input_tokens,output_tokens,ttft_ms,latency_s,workload,query_id
487,20,98.41,0.1984,prefix,1
487,20,45.06,0.1451,prefix,2
487,20,35.62,0.1356,prefix,3
491,20,54.1,0.1541,prefix,4
492,20,41.91,0.1419,prefix,5
489,20,37.87,0.1379,prefix,6
493,20,41.03,0.141,prefix,7
491,20,35.54,0.1355,prefix,8
492,20,34.96,0.135,prefix,9
492,20,40.01,0.14,prefix,10
493,20,54.59,0.1546,prefix,11
491,20,46.28,0.1463,prefix,12
492,20,49.38,0.1494,prefix,13
488,20,44.89,0.1449,prefix,14
492,20,45.93,0.1459,prefix,15
489,20,63.95,0.164,prefix,16
490,20,42.68,0.1427,prefix,17
487,20,47.26,0.1473,prefix,18
493,20,35.88,0.1359,prefix,19
487,20,47.32,0.1473,prefix,20
490,20,48.2,0.1482,prefix,21
490,20,41.36,0.1414,prefix,22
495,20,34.55,0.1345,prefix,23
489,20,48.75,0.1488,prefix,24
494,20,35.42,0.1354,prefix,25
489,20,44.03,0.144,prefix,26
492,20,44.87,0.1449,prefix,27
496,20,44.14,0.1441,prefix,28
491,20,52.78,0.1528,prefix,29
490,20,36.31,0.1363,prefix,30
490,20,37.6,0.1376,prefix,31
488,20,37.84,0.1378,prefix,32
494,20,45.15,0.1452,prefix,33
487,20,53.41,0.1534,prefix,34
491,20,58.05,0.158,prefix,35
491,20,34.74,0.1347,prefix,36
491,20,64.73,0.1647,prefix,37
490,20,42.23,0.1422,prefix,38
492,20,51.08,0.1511,prefix,39
488,20,46.07,0.1461,prefix,40
493,20,48.99,0.149,prefix,41
490,20,34.59,0.1346,prefix,42
493,20,47.59,0.1476,prefix,43
491,20,34.83,0.1348,prefix,44
494,20,42.86,0.1429,prefix,45
491,20,46.67,0.1467,prefix,46
493,20,35.13,0.1351,prefix,47
490,20,46.35,0.1463,prefix,48
489,20,38.18,0.1382,prefix,49
488,20,45.05,0.145,prefix,50
663,20,79.91,0.1799,rag,1
663,20,37.43,0.1374,rag,2
666,20,40.05,0.1401,rag,3
661,20,35.59,0.1356,rag,4
660,20,41.93,0.1419,rag,5
660,20,61.9,0.1619,rag,6
665,20,34.73,0.1347,rag,7
669,20,37.62,0.1376,rag,8
667,20,43.38,0.1434,rag,9
658,20,46.88,0.1469,rag,10
663,20,38.16,0.1382,rag,11
659,20,43.81,0.1438,rag,12
662,20,35.73,0.1357,rag,13
672,20,51.35,0.1514,rag,14
662,20,46.79,0.1468,rag,15
662,20,35.73,0.1357,rag,16
662,20,39.45,0.1395,rag,17
662,20,48.47,0.1485,rag,18
658,20,39.34,0.1393,rag,19
661,20,50.66,0.1507,rag,20
661,20,51.13,0.1511,rag,21
666,20,38.1,0.1381,rag,22
664,20,47.05,0.1471,rag,23
659,20,51.57,0.1516,rag,24
663,20,60.21,0.1602,rag,25
658,20,39.42,0.1394,rag,26
663,20,37.11,0.1371,rag,27
657,20,38.98,0.139,rag,28
658,20,50.31,0.1503,rag,29
659,20,45.54,0.1455,rag,30
667,20,56.69,0.1567,rag,31
666,20,38.97,0.139,rag,32
666,20,38.59,0.1386,rag,33
662,20,46.22,0.1462,rag,34
659,20,50.92,0.1509,rag,35
661,20,48.78,0.1488,rag,36
661,20,47.86,0.1479,rag,37
665,20,50.57,0.1506,rag,38
661,20,34.87,0.1349,rag,39
658,20,49.65,0.1496,rag,40
663,20,50.07,0.1501,rag,41
664,20,42.03,0.142,rag,42
658,20,47.09,0.1471,rag,43
664,20,39.2,0.1392,rag,44
657,20,53.99,0.154,rag,45
662,20,46.37,0.1464,rag,46
660,20,35.6,0.1356,rag,47
663,20,41.48,0.1415,rag,48
659,20,39.71,0.1397,rag,49
662,20,37.67,0.1377,rag,50
7,20,30.04,0.13,nocontext,1
8,20,31.04,0.131,nocontext,2
10,20,34.61,0.1346,nocontext,3
8,20,34.06,0.1341,nocontext,4
8,20,32.05,0.132,nocontext,5
6,20,32.43,0.1324,nocontext,6
7,20,32.69,0.1327,nocontext,7
8,20,41.34,0.1413,nocontext,8
10,20,47.98,0.148,nocontext,9
7,20,45.06,0.1451,nocontext,10
8,20,42.29,0.1423,nocontext,11
9,20,43.68,0.1437,nocontext,12
11,20,36.9,0.1369,nocontext,13
7,20,33.7,0.1337,nocontext,14
9,20,47.87,0.1479,nocontext,15
7,20,32.97,0.133,nocontext,16
11,20,37.18,0.1372,nocontext,17
9,20,33.99,0.134,nocontext,18
10,20,30.96,0.131,nocontext,19
7,20,33.79,0.1338,nocontext,20
8,20,37.06,0.1371,nocontext,21
9,20,36.23,0.1362,nocontext,22
9,20,33.78,0.1338,nocontext,23
6,20,45.26,0.1453,nocontext,24
9,20,34.28,0.1343,nocontext,25
8,20,43.91,0.1439,nocontext,26
7,20,33.05,0.133,nocontext,27
8,20,47.24,0.1472,nocontext,28
11,20,34.87,0.1349,nocontext,29
9,20,42.5,0.1425,nocontext,30
6,20,47.48,0.1475,nocontext,31
10,20,30.18,0.1302,nocontext,32
9,20,47.07,0.1471,nocontext,33
9,20,46.75,0.1467,nocontext,34
10,20,50.09,0.1501,nocontext,35
10,20,42.2,0.1422,nocontext,36
8,20,30.32,0.1303,nocontext,37
5,20,37.52,0.1375,nocontext,38
9,20,38.99,0.139,nocontext,39
11,20,43.3,0.1433,nocontext,40
9,20,38.93,0.1389,nocontext,41
8,20,44.16,0.1442,nocontext,42
8,20,49.64,0.1496,nocontext,43
9,20,42.51,0.1425,nocontext,44
7,20,44.89,0.1449,nocontext,45
9,20,41.98,0.142,nocontext,46
7,20,44.77,0.1448,nocontext,47
8,20,35.53,0.1355,nocontext,48
9,20,37.63,0.1376,nocontext,49
8,20,37.78,0.1378,nocontext,50
60,20,46.34,0.1463,multiturn,1
86,20,46.54,0.1465,multiturn,2
109,20,39.18,0.1392,multiturn,3
133,20,65.23,0.1652,multiturn,4
159,20,39.92,0.1399,multiturn,5
184,20,36.08,0.1361,multiturn,6
203,20,34.22,0.1342,multiturn,7
229,20,34.56,0.1346,multiturn,8
249,20,38.53,0.1385,multiturn,9
272,20,41.18,0.1412,multiturn,10
297,20,38.6,0.1386,multiturn,11
323,20,46.25,0.1463,multiturn,12
344,20,39.02,0.139,multiturn,13
367,20,46.43,0.1464,multiturn,14
394,20,39.1,0.1391,multiturn,15
417,20,36.86,0.1369,multiturn,16
441,20,35.91,0.1359,multiturn,17
471,20,38.49,0.1385,multiturn,18
490,20,38.88,0.1389,multiturn,19
515,20,52.4,0.1524,multiturn,20
539,20,48.86,0.1489,multiturn,21
561,20,38.83,0.1388,multiturn,22
586,20,46.43,0.1464,multiturn,23
606,20,39.86,0.1399,multiturn,24
630,20,44.85,0.1449,multiturn,25
655,20,64.74,0.1647,multiturn,26
679,20,52.45,0.1524,multiturn,27
705,20,39.8,0.1398,multiturn,28
732,20,54.64,0.1546,multiturn,29
754,20,44.06,0.1441,multiturn,30
778,20,39.53,0.1395,multiturn,31
800,20,46.1,0.1461,multiturn,32
825,20,49.53,0.1495,multiturn,33
849,20,69.74,0.1697,multiturn,34
875,20,41.11,0.1411,multiturn,35
902,20,59.62,0.1596,multiturn,36
928,20,41.19,0.1412,multiturn,37
946,20,40.25,0.1403,multiturn,38
966,20,54.42,0.1544,multiturn,39
995,20,60.8,0.1608,multiturn,40
1018,20,43.26,0.1433,multiturn,41
1046,20,39.6,0.1396,multiturn,42
1070,20,39.66,0.1397,multiturn,43
1101,20,41.99,0.142,multiturn,44
1121,20,46.19,0.1462,multiturn,45
1143,20,49.53,0.1495,multiturn,46
1166,20,43.88,0.1439,multiturn,47
1187,20,44.82,0.1448,multiturn,48
1215,20,44.47,0.1445,multiturn,49
1236,20,59.36,0.1594,multiturn,50
