workload,strategy,avg_latency_ms,hit_rate_pct,avg_ttft_ms,speedup_vs_lru,prefetch_accuracy_pct,latency_reduction_pct
prefix,No Cache,79.8,0.0,26.6,0.023,,
prefix,LRU,1.84,98.0,0.721,1.0,,
prefix,Oracle,1.69,98.0,0.568,1.091,,
prefix,RL Agent,1.69,98.0,0.568,1.088,0.0,10.33
rag,No Cache,212.8,0.0,26.6,0.144,,
rag,LRU,30.68,85.75,0.62,1.0,,
rag,Oracle,30.55,85.75,0.584,1.004,,
rag,RL Agent,30.55,85.75,0.575,1.004,0.0,1.49
nocontext,No Cache,26.6,0.0,26.6,1.0,,
nocontext,LRU,26.6,0.0,26.6,1.0,,
nocontext,Oracle,26.6,0.0,26.6,1.0,,
nocontext,RL Agent,26.6,0.0,26.6,1.0,0.0,0.0
multiturn,No Cache,678.3,0.0,26.6,0.129,,
multiturn,LRU,87.23,59.76,2.185,1.0,,
multiturn,Oracle,113.92,59.76,2.199,0.766,,
multiturn,RL Agent,87.92,44.24,2.305,0.992,100.0,-89.93
