workload,strategy,avg_ttft_ms,median_ttft_ms,p95_ttft_ms,avg_latency_ms
prefix,No Cache,26.6,26.6,26.6,79.80000000000001
prefix,LRU,0.721,0.031,0.054,1.8441249390984888
prefix,Oracle,0.568,0.033,0.085,1.6904506365340206
prefix,RL Agent,0.568,0.035,0.053,1.6948110402249734
rag,No Cache,26.6,26.6,26.6,212.79999999999995
rag,LRU,0.62,0.093,0.115,30.678436977650037
rag,Oracle,0.584,0.058,0.067,30.553582041501997
rag,RL Agent,0.575,0.044,0.052,30.54905207743961
nocontext,No Cache,26.6,26.6,26.6,26.599999999999994
nocontext,LRU,26.6,26.6,26.6,26.599999999999994
nocontext,Oracle,26.6,26.6,26.6,26.599999999999994
nocontext,RL Agent,26.6,26.6,26.6,26.599999999999994
multiturn,No Cache,26.6,26.6,26.6,678.3000000000003
multiturn,LRU,2.185,1.001,4.008,87.23101102074145
multiturn,Oracle,2.199,0.997,4.231,113.92174126460452
multiturn,RL Agent,2.305,0.989,4.941,87.91573903956453
