episode,total_reward,hit_rate_pct,prefetch_accuracy_pct,total_prefetches,useful_prefetches,avg_measured_latency_ms,avg_baseline_latency_ms,total_measured_latency_ms,total_baseline_latency_ms,latency_reduction_pct,avg_ttft_ms,median_ttft_ms,p95_ttft_ms,tier_L1,tier_L2,tier_L3,tier_MISS,tier_L1_pct,tier_L2_pct,tier_L3_pct,tier_MISS_pct,latency_L1_ms,latency_L2_ms,latency_L3_ms,latency_MISS_ms
1,9.892938180871562,85.75,0.0,24,0,32.307,31.01,1615.369,1550.5,-4.18,2.335,0.061,9.501,343,0,0,57,85.8,0.0,0.0,14.2,21.252,0.0,0.0,1516.2
2,18.306076937197748,85.75,0.0,32,0,31.981,31.01,1599.074,1550.5,-3.13,2.014,0.054,7.553,343,0,0,57,85.8,0.0,0.0,14.2,11.787,0.0,0.0,1516.2
3,19.42295617731127,85.75,0.0,24,0,31.565,31.01,1578.246,1550.5,-1.79,1.599,0.054,4.296,343,0,0,57,85.8,0.0,0.0,14.2,11.722,0.0,0.0,1516.2
4,17.556568945790573,85.75,0.0,36,0,32.603,31.01,1630.137,1550.5,-5.14,2.633,0.053,10.337,343,0,0,57,85.8,0.0,0.0,14.2,12.011,0.0,0.0,1516.2
5,18.870581424447856,85.75,0.0,28,0,31.721,31.01,1586.073,1550.5,-2.29,1.754,0.047,5.299,343,0,0,57,85.8,0.0,0.0,14.2,11.749,0.0,0.0,1516.2
6,19.22982889920752,85.75,0.0,25,0,31.603,31.01,1580.164,1550.5,-1.91,1.636,0.055,4.264,343,0,0,57,85.8,0.0,0.0,14.2,11.784,0.0,0.0,1516.2
7,18.380442913813557,85.75,0.0,32,0,31.896,31.01,1594.806,1550.5,-2.86,1.93,0.051,6.397,343,0,0,57,85.8,0.0,0.0,14.2,11.713,0.0,0.0,1516.2
8,18.75315917549416,85.75,0.0,27,0,31.717,31.01,1585.828,1550.5,-2.28,1.746,0.057,6.282,343,0,0,57,85.8,0.0,0.0,14.2,11.997,0.0,0.0,1516.2
9,18.96982813475389,85.75,0.0,28,0,31.739,31.01,1586.932,1550.5,-2.35,1.773,0.048,5.449,343,0,0,57,85.8,0.0,0.0,14.2,11.649,0.0,0.0,1516.2
10,18.557356258794965,85.75,0.0,31,0,31.845,31.01,1592.253,1550.5,-2.69,1.879,0.049,7.297,343,0,0,57,85.8,0.0,0.0,14.2,11.667,0.0,0.0,1516.2
